pid,sem,month_year,gpa,result,ECategory,Hobby,Hobby_level,Name,acadyear,stat,ssc,hsc,cet,diploma
197945,4.0,01-12-2016,0,0,others,"trophy for mathematics,gold medal in nstse",national,Neha Saxena,2021-2022,regular,96.0,91.7,85.8,73.0
197946,1.0,01-05-2017,\n,1,cultural,music,state,Christopher Machado,2021-2022,regular,89.2,92.5,96.0,73.0
197947,2.0,01-05-2017,5.54,1,sports,hockey,school,Rahul Mehta,2021-2022,regular,87.2,94.1,85.7,73.0
197948,3.0,01-05-2017,0,0,games,table tennis,school,Elizabeth Rodrigues,2021-2022,regular,86.8,94.2,78.2,73.0
197949,4.0,01-05-2017,0,0,cultural,scouting,state,Anjali Choudhary,2021-2022,regular,91.8,89.0,72.5,73.0
197950,1.0,01-12-2013,0,0,hobbies,reading,school,Stephen Machado,2021-2022,regular,84.6,94.6,75.9,73.0
197951,2.0,01-05-2014,0,0,others,elocution,school,David Fernandes,2021-2022,regular,79.6,90.0,69.7,73.0
197952,1.0,01-05-2014,0,0,sports,football,school,Aarav Agarwal,2021-2022,regular,79.0,92.3,85.7,73.0
197953,2.0,01-12-2014,0,0,cultural,lazim,school,Aarav Joshi,2021-2022,regular,80.0,86.5,69.7,73.0
197954,1.0,01-12-2014,0,0,others,scout and guides,school,Sanjay Verma,2021-2022,regular,82.0,87.8,82.7,73.0
197955,1.0,01-05-2015,0,0,sports,swimming,school,Sanjay Malhotra,2021-2022,regular,84.8,94.8,80.8,73.0
197956,2.0,01-05-2015,0,0,games,karate and badminton,school,Peter Castro,2021-2022,regular,85.2,91.0,75.9,73.0
197957,1.0,01-12-2015,0,0,cultural,scout and guide commander,district,Khalid Chaudhry,2021-2022,regular,78.0,87.0,64.0,73.0
197958,2.0,01-12-2015,0,0,hobbies,"coin collection,cosmology and mythology",school,Deepak Kulkarni,2021-2022,regular,96.3,95.8,95.8,73.0
197959,3.0,01-12-2015,0,0,sports,"table tennis, 2nd place",school,Khalid Chaudhry,2021-2022,regular,81.6,84.4,96.2,73.0
197960,1.0,01-05-2016,0,0,sports,basketball,school,Meera Patel,2021-2022,regular,95.8,91.2,88.6,73.0
197961,2.0,01-05-2016,0,0,cultural,singing,school,Ramesh Agarwal,2021-2022,regular,83.2,89.1,88.7,73.0
197962,3.0,01-05-2016,0,0,games,football ,district,Omar Qureshi,2021-2022,regular,88.8,89.2,75.9,73.0
197963,4.0,01-05-2016,0,0,hobbies,e-sports,school,Zaid Shan,2021-2022,regular,83.0,93.0,36.0,73.0
197964,2.0,01-12-2016,5.48,1,sports,no,school,Rahul Ghosh,2021-2022,regular,96.1,94.6,97.8,73.0
197965,3.0,01-12-2016,0,0,games,no,school,Rajesh Mehta,2021-2022,regular,95.0,94.8,97.1,73.0
197966,4.0,01-12-2016,0,0,cultural,no,school,Varun Kulkarni,2021-2022,regular,79.4,82.0,41.6,73.0
197967,3.0,01-05-2017,0,0,hobbies,reading ,school,Varun Agarwal,2021-2022,regular,86.2,88.5,46.1,73.0
197968,4.0,01-05-2017,0,0,sports,badminton ,school,Varun Kulkarni,2021-2022,regular,92.5,62.4,73.9,73.0
197969,1.0,01-12-2013,0,0,cultural,passes elementary grade exam,state,Nikita Nair,2021-2022,regular,92.0,94.7,94.3,73.0
197970,2.0,01-05-2014,0,0,hobbies,handwriting stylist,school,Aarav Choudhary,2021-2022,regular,79.8,89.5,72.6,73.0
197971,1.0,01-05-2014,0,0,sports,football match - 2nd prize,school,Anjali Bansal,2021-2022,regular,94.2,90.7,95.8,73.0
197972,2.0,01-12-2014,0,0,cultural,rangoli competition - 2nd prizerangat rang pot painting - 1st prize,school,Nikita Verma,2021-2022,regular,81.0,91.0,20.0,73.0
197973,1.0,01-12-2014,0,0,hobbies,elementary drawing grade exam - a gradeintermediate drawing grade exam - a grade,state,David Machado,2021-2022,regular,88.8,94.5,82.5,73.0
197974,1.0,01-05-2015,0,0,others,received higher secondary school scholarship,district,Nikita Mehta,2021-2022,regular,91.4,95.8,74.5,73.0
197975,2.0,01-05-2015,0,0,others,received higher secondary school scholarship,district,Rohit Patel,2021-2022,regular,87.4,87.5,76.1,73.0
197976,1.0,01-12-2015,0,0,others,received higher secondary school scholarship,district,Sanjay Reddy,2021-2022,regular,81.6,91.2,93.0,73.0
197977,2.0,01-12-2015,0,0,sports,no,school,Meera Bhatt,2021-2022,regular,82.2,83.2,93.6,73.0
197978,3.0,01-12-2015,0,0,games,no,school,Daniel Machado,2021-2022,regular,86.2,94.5,92.8,73.0
197979,1.0,01-05-2016,0,0,hobbies,drawing,school,Lucas Noronha,2021-2022,regular,71.6,53.2,77.5,73.0
197980,2.0,01-05-2016,0,0,others,received higher secondary school scholarship,district,Kiran Bansal,2021-2022,regular,86.8,75.5,89.2,73.0
197981,3.0,01-05-2016,0,0,sports,"football, volleyball",school,Priya Reddy,2021-2022,regular,68.4,86.3,88.0,73.0
197982,4.0,01-05-2016,0,0,cultural,"keen participation ""brahmostav"" - college fest ",school,Nikita Iyer,2021-2022,regular,88.8,89.3,89.3,73.0
197983,1.0,01-12-2014,\n,1,hobbies,"pets (fish keeping), ",school,Michael Noronha,2021-2022,regular,87.2,94.8,97.5,73.0
197984,1.0,01-12-2014,9.33,1,others,3 prize  in project ,school,Teresa Rodrigues,2021-2022,regular,81.2,92.9,89.9,73.0
197985,2.0,01-05-2015,7.96,1,games,maharashtra softball chamionship,state,Priya Mehta,2021-2022,regular,74.6,78.1,76.4,73.0
197986,3.0,01-12-2014,0,0,hobbies,chess,school,Amit Ghosh,2021-2022,regular,92.8,93.3,85.1,73.0
197987,3.0,01-05-2015,0,0,cultural,singing,school,David Almeida,2021-2022,regular,83.0,89.0,84.0,73.0
197988,4.0,01-05-2015,5.68,1,cultural,singing,school,Neha Iyer,2021-2022,regular,92.4,97.0,93.7,73.0
197989,3.0,01-12-2015,5.68,1,sports,"football,volleyball",school,Thomas Sequeira,2021-2022,regular,84.4,87.3,58.6,73.0
197990,5.0,01-12-2015,5.42,1,cultural,keen participant in bharamotsav at -tvm colege,school,Lucas Almeida,2021-2022,regular,73.8,82.6,77.6,73.0
197991,6.0,01-05-2016,6.04,1,hobbies,pet (fish keeping),school,Vikram Choudhary,2021-2022,regular,84.0,87.5,94.7,73.0
197992,7.0,01-12-2016,0,0,sports,football,school,Stephen Coelho,2021-2022,regular,83.2,92.0,86.7,73.0
197993,1.0,01-12-2015,0,0,hobbies,badminton ,school,Francis Dias,2021-2022,regular,88.6,89.5,74.2,73.0
197994,1.0,01-05-2016,0,0,hobbies,"mountaineering course from atal bihari bajpeyi institute, himachal pradesh",national,Pooja Trivedi,2021-2022,regular,87.0,85.0,89.0,73.0
197995,2.0,01-05-2016,0,0,others,certified by bhonsala military school,state,Paul Lobo,2021-2022,regular,93.4,95.7,97.9,73.0
197996,3.0,01-12-2015,0,0,games,throw ball,school,David Lobo,2021-2022,regular,43.5,72.0,78.1,73.0
197997,3.0,01-05-2016,0,0,cultural,"dance, elocution, drama ",school,Catherine D'Souza,2021-2022,regular,74.4,89.0,93.2,73.0
197998,4.0,01-05-2016,0,0,hobbies,"collecting currency of different countries, dance",national,Sana Malik,2021-2022,regular,82.6,89.0,71.2,73.0
197999,3.0,01-12-2016,0,0,sports,karate,school,Neha Agarwal,2021-2022,regular,84.6,80.5,94.0,73.0
198000,4.0,01-12-2016,0,0,cultural,all india dance and drama competition,national,Neha Verma,2021-2022,regular,93.2,82.4,80.8,73.0
198001,3.0,01-05-2017,0,0,cultural,dance competition,school,Stephen D'Souza,2021-2022,regular,91.0,91.3,90.3,73.0
198002,4.0,01-05-2017,0,0,cultural,dance ,school,Daniel Gomes,2021-2022,regular,92.4,85.3,89.4,73.0
198003,3.0,01-12-2017,0,0,others,received higher secondary school scholarship,district,Rahul Pandey,2021-2022,regular,85.8,89.3,69.3,73.0
198004,4.0,01-12-2017,0,0,hobbies,"dancing ,travelling",school,Teresa Noronha,2021-2022,regular,84.4,83.8,84.0,73.0
198005,3.0,01-05-2018,0,0,cultural,"first in school cultural fest for singing and dancing 2016-17, 2nd inter school salad making competition",school,Vikram Reddy,2021-2022,regular,80.4,93.0,80.7,73.0
198006,4.0,01-05-2018,0,0,hobbies,"reading, singing, cooking, research",school,John Castro,2021-2022,regular,84.0,87.9,73.3,73.0
198007,3.0,01-12-2018,0,0,others,3rd prize in math quiz,school,Naseem Shaikh,2021-2022,regular,98.2,87.2,75.0,73.0
198008,4.0,01-12-2018,0,0,sports,chess,school,Priya Kulkarni,2021-2022,regular,71.2,79.8,93.7,73.0
198009,5.0,01-12-2018,5.67,"rs3 , 4",hobbies,elocution,school,Kavita Pandey,2021-2022,regular,82.2,94.8,67.2,73.0
198010,3.0,01-05-2019,0,0,sports,1)awarded 2nd place in kho-kho inter house competition2)awarded second prize in football in interhouse competition,school,Shabana Rehman,2021-2022,regular,82.0,76.2,96.6,73.0
198011,4.0,01-05-2019,0,0,cultural,won certificate of excellence with  first place for elocution in hindi ,school,Rahul Mehta,2021-2022,regular,86.0,94.0,92.2,73.0
198012,6.0,01-05-2019,0,0,hobbies,"playing badminton and cricket, reading sports",school,Peter D'Souza,2021-2022,regular,88.6,92.3,89.4,73.0
198013,3.0,01-12-2019,0,0,sports,throwball,district,Pooja Chopra,2021-2022,regular,83.0,82.5,84.4,73.0
198014,4.0,01-12-2019,0,0,sports,table tennis,school,Teresa Pereira,2021-2022,regular,86.8,90.6,83.9,73.0
198015,6.0,01-12-2019,0,0,hobbies,programming,school,Pooja Kulkarni,2021-2022,regular,93.0,81.0,58.6,73.0
198016,1.0,01-12-2023,8.25,1,sports,wushu kickboxing,state,Sneha Agarwal,2021-2022,regular,88.0,91.6,84.7,73.0
198017,1.0,01-05-2017,0,0,hobbies,martial arts ,state,Lucas Menezes,2021-2022,regular,78.0,87.5,75.1,73.0
198018,1.0,01-05-2017,0,0,hobbies,elementary and intermediate,school,Christopher D’Mello,2021-2022,regular,84.4,92.8,89.6,73.0
198019,2.0,01-05-2017,0,0,sports,hockey,school,Rajesh Agarwal,2021-2022,regular,73.8,88.2,85.7,73.0
198020,1.0,01-12-2017,0,0,cultural,singing,state,Bilal Nawaz,2021-2022,regular,85.4,77.7,91.9,73.0
198021,2.0,01-12-2017,0,0,sports,judo,state,Nikita Iyer,2021-2022,regular,91.6,92.5,93.4,73.0
198022,3.0,01-12-2017,0,0,games,volleyball,district,Anjali Ghosh,2021-2022,regular,82.6,90.5,66.0,73.0
198023,2.0,01-12-2018,0,0,cultural,kathak,district,Neha Choudhary,2021-2022,regular,79.6,89.8,17.6,73.0
198024,1.0,01-05-2017,0,0,hobbies,"keyboard, london trinity",national,Peter Noronha,2021-2022,regular,89.2,96.8,98.0,73.0
198025,2.0,01-05-2017,0,0,sports,karate,state,Farhan Siddiqui,2021-2022,regular,69.4,83.0,79.7,73.0
198026,1.0,01-12-2017,0,0,games,"racing,",school,Simon Castro,2021-2022,regular,90.0,81.4,43.1,73.0
198027,2.0,01-12-2017,0,0,hobbies,"cricket,",school,Rahul Iyer,2021-2022,regular,94.2,93.0,90.0,73.0
198028,3.0,01-12-2017,0,0,cultural,"drawing, elocution competition, quiz contest, essay writing competition",school,Rahul Agarwal,2021-2022,regular,79.8,85.0,54.0,73.0
198029,1.0,01-05-2018,0,0,others,"fancy dress competition, ",district,Catherine Pereira,2021-2022,regular,85.1,93.2,69.7,73.0
198030,2.0,01-05-2018,0,0,cultural,singing,school,Rajesh Sharma,2021-2022,regular,95.4,93.0,94.4,73.0
198031,3.0,01-05-2018,0,0,others,gk olympiad ,state,Peter D'Souza,2021-2022,regular,88.8,93.1,79.9,73.0
198032,4.0,01-05-2018,0,0,sports,nil,school,Peter Menezes,2021-2022,regular,85.2,93.7,90.8,73.0
198033,2.0,01-05-2017,6.41,1,games,nil,school,Joseph Noronha,2021-2022,regular,81.8,81.1,48.4,73.0
198034,1.0,01-05-2019,0,0,cultural,nil,school,Ramesh Ghosh,2021-2022,regular,95.8,94.8,95.1,73.0
198035,2.0,01-05-2019,0,0,hobbies,nil,school,Omar Kazmi,2021-2022,regular,88.4,95.0,89.0,73.0
198036,1.0,01-12-2023,6.11,1,others,nil,school,Simon Fernandes,2021-2022,regular,76.4,83.8,66.1,73.0
198037,1.0,01-12-2023,9.17,1,sports,shot put,school,Nikita Mehta,2021-2022,regular,89.8,93.6,98.1,73.0
198038,1.0,01-12-2023,8.5,1,sports,shot put,school,Christopher D’Costa,2021-2022,regular,81.0,91.3,56.6,73.0
198039,1.0,01-12-2023,7.33,1,hobbies,"reading, badminton, lawn tennis",school,Meera Bansal,2021-2022,regular,84.2,84.3,72.6,73.0
198040,1.0,01-12-2023,0,0,hobbies,"reading, badminton, lawn tennis",school,Deepak Reddy,2021-2022,regular,63.6,67.8,76.4,73.0
198041,1.0,01-12-2023,7.72,1,sports,basketball,state,Elizabeth D'Souza,2021-2022,regular,89.0,92.6,82.2,73.0
198042,1.0,01-05-2018,0,0,sports,basketball,district,Francis D'Souza,2021-2022,regular,77.6,88.5,64.1,73.0
198043,1.0,01-05-2018,0,0,sports,throw ball,school,Kiran Chopra,2021-2022,regular,89.9,85.1,78.8,73.0
198044,2.0,01-05-2018,0,0,hobbies,dancing,school,Peter Coelho,2021-2022,regular,91.2,92.7,94.5,73.0
198045,1.0,01-05-2018,0,0,sports,footbal,school,Stephen Sequeira,2021-2022,regular,85.2,88.8,95.1,73.0
198046,1.0,01-12-2018,0,0,sports,track events,school,Catherine Fernandes,2021-2022,regular,85.6,88.0,70.0,73.0
198047,1.0,01-12-2022,9.11,1,games,cricket,district,Deepak Agarwal,2021-2022,regular,76.0,91.5,61.7,73.0
198048,1.0,01-12-2022,0,0,sports,no,school,Kavita Patel,2022-2023,regular,93.4,80.5,90.0,73.0
198049,1.0,01-12-2022,0,0,games,no,school,Rohit Saxena,2022-2023,regular,78.6,56.0,80.3,73.0
198050,1.0,01-12-2022,7.72,1,cultural,no,school,Varun Desai,2022-2023,regular,82.0,59.0,78.0,73.0
198051,1.0,01-12-2022,7.78,1,hobbies,dreawing dancing singing,school,Meera Reddy,2022-2023,regular,93.2,67.7,72.0,73.0
198052,1.0,01-12-2022,9.28,1,others,no,school,Catherine Almeida,2022-2023,regular,91.0,72.7,84.9,73.0
198053,1.0,01-12-2022,8.61,1,sports,football,school,Rohit Bhatt,2022-2023,regular,96.2,89.8,94.4,73.0
198054,1.0,01-12-2022,7.17,1,sports,selected for badminton at inter college level ,school,Rahul Pandey,2022-2023,regular,93.2,79.1,95.4,73.0
198055,1.0,01-12-2022,9.39,1,games,was a part of throw ball team at school level,school,Meera Patel,2022-2023,regular,82.0,46.0,87.4,73.0
198056,1.0,01-12-2022,7.83,1,cultural,"music- got selected in singing competition and won the 1st prize at the district ,state level. went to haridwar for the national level representing and maharashtra state.reached 5th level in hindustani classical music from akhil bharatiya gandharva vidhyalaya, mumbaibharata natyam - reached 5th level from akhil bharatiya gandharva vidhyalaya, mumbai",national,Kavita Kulkarni,2022-2023,regular,82.2,69.0,15.0,73.0
198057,1.0,01-12-2022,0,0,hobbies,playing badminton,school,Manish Pandey,2022-2023,regular,94.0,91.7,93.7,73.0
198058,1.0,01-12-2022,0,0,hobbies,dance  drawing,school,Rohit Joshi,2022-2023,regular,93.8,70.7,92.0,73.0
198059,2.0,01-05-2022,9.75,1,sports,cricket,district,Daniel D’Mello,2022-2023,regular,94.2,75.5,86.5,73.0
198060,1.0,01-12-2022,6.67,1,games,cricket,district,Junaid Siddiqui,2022-2023,regular,65.6,58.5,64.0,73.0
198061,1.0,01-12-2022,8.83,1,hobbies,reading,school,John Dias,2022-2023,regular,68.8,60.8,74.7,73.0
198062,1.0,01-12-2022,8.17,1,cultural,"dance, boogie woogie 2000 winner ( sony tv) mini superstar winner (dd metro)",school,Deepak Agarwal,2022-2023,regular,86.0,67.0,66.0,73.0
198063,2.0,01-05-2022,7.88,1,sports,throw ball,district,Aarav Kulkarni,2022-2023,regular,82.6,63.8,78.3,73.0
198064,1.0,01-12-2022,0,0,games,foot ball,district,Vikram Chopra,2022-2023,regular,88.4,82.8,85.0,73.0
198065,2.0,01-05-2022,8.8,1,cultural,scout and guide,district,Imran Rehman,2022-2023,regular,94.2,81.3,80.3,73.0
198066,2.0,01-05-2022,7.68,1,hobbies,"music, dancing",school,Neha Pandey,2022-2023,regular,79.0,52.0,89.0,73.0
198067,1.0,01-12-2021,9.33,1,sports,karate - black belt 1 strip,school,Sanjay Iyer,2022-2023,regular,85.2,86.0,89.4,73.0
198068,1.0,01-12-2021,9.89,1,cultural,elementary intermediate,school,Francis Pinto,2022-2023,regular,90.6,66.6,78.4,73.0
198069,1.0,01-12-2021,9.67,1,cultural,elementary drawing examination,state,Imran Wahid,2022-2023,regular,76.4,67.1,88.6,73.0
198070,1.0,01-12-2021,9.44,1,sports,throw ball,school,Lucas Machado,2022-2023,regular,69.4,50.5,68.2,73.0
198071,1.0,01-12-2021,9.17,1,games,100 meter running,school,Ayesha Rehman,2022-2023,regular,91.6,74.1,66.4,73.0
198072,1.0,01-12-2021,8,1,others,head girl,school,Anne Gomes,2022-2023,regular,94.6,72.7,81.8,73.0
198073,1.0,01-12-2021,9.56,1,sports,-,school,Rohit Saxena,2022-2023,regular,89.0,67.3,62.0,73.0
198074,1.0,01-12-2021,9.5,1,games,-,school,Rajesh Mehta,2022-2023,regular,87.8,62.5,79.2,73.0
198075,1.0,01-12-2021,7.72,1,cultural,-,school,Aarav Verma,2022-2023,regular,93.6,60.0,79.9,73.0
198076,1.0,01-12-2021,6.14,1,hobbies,art and craft,school,Meera Choudhary,2022-2023,regular,89.4,79.1,80.9,73.0
198077,1.0,01-12-2021,9.39,1,others,-,school,Priya Choudhary,2022-2023,regular,80.0,72.5,89.7,73.0
198078,1.0,01-12-2021,9.61,1,cultural,"carol singing, dancing",school,Joseph Sequeira,2022-2023,regular,87.2,62.6,87.2,73.0
198079,1.0,01-12-2021,9.67,1,hobbies,drawing,school,Lucas Fernandes,2022-2023,regular,77.0,51.6,83.4,73.0
198080,1.0,01-12-2021,9.83,1,others,tree plantation,school,Priya Trivedi,2022-2023,regular,86.2,66.0,81.4,73.0
198081,1.0,01-12-2021,9.56,1,sports,karate,school,Thomas Fernandes,2022-2023,regular,85.2,66.3,79.5,73.0
198082,1.0,01-12-2021,9.72,1,games,karate,school,Mary Monteiro,2022-2023,regular,84.2,60.5,79.8,73.0
198083,1.0,01-12-2021,9.42,1,cultural,"instrumental competition, patriotic singing competition, carol singing competition",school,Kiran Agarwal,2022-2023,regular,79.0,54.8,83.4,73.0
198084,1.0,01-12-2021,9.33,1,hobbies,"playing the guitar, group singing,",school,Thomas Sequeira,2022-2023,regular,89.2,73.6,85.2,73.0
198085,1.0,01-12-2021,9.53,1,others,"playing the guitar, group singing,",school,Sanjay Ghosh,2022-2023,regular,79.6,54.0,74.2,73.0
198086,1.0,01-12-2021,8.81,1,cultural,"carol singing, dancing, ",school,Varun Choudhary,2022-2023,regular,84.4,90.0,90.6,73.0
198087,1.0,01-12-2021,9.72,1,hobbies,drawing,school,Simon Almeida,2022-2023,regular,93.2,64.8,77.1,73.0
198088,1.0,01-12-2021,9.39,1,others,"tree plantation, swachh bharat abhiyan",school,Sanjay Patel,2022-2023,regular,93.0,62.8,78.1,73.0
198089,1.0,01-12-2021,9.78,1,sports,throwball,school,Rajesh Desai,2022-2023,regular,87.6,71.5,94.5,73.0
198090,1.0,01-12-2021,8.33,1,sports,football,district,Meera Choudhary,2022-2023,regular,86.2,80.8,97.4,73.0
